CustomerKey,Customer Code,City,State,Name,Education,Occupation,CountryRegionKey
13,11012,Bremerton,Washington,"Walker, Lauren",Bachelors,Management,3
14,11013,Lebanon,Oregon,"Jenkins, Ian",Bachelors,Management,3
15,11014,Redmond,Washington,"Bennett, Sydney",Bachelors,Management,3
16,11015,Burbank,California,"Young, Chloe",Partial College,Skilled Manual,3
17,11016,Imperial Beach,California,"Hill, Wyatt",Partial College,Skilled Manual,3
41,11040,Tacoma,Washington,"Murphy, Jesse",Partial College,Skilled Manual,3
82,11081,Concord,California,"Baker, Savannah",Bachelors,Management,3
83,11082,Fremont,California,"Butler, Angela",Graduate Degree,Management,3
84,11083,Lincoln Acres,California,"Cox, Alyssa",Graduate Degree,Management,3
88,11087,Chula Vista,California,"Liang, Tamara",Partial College,Professional,3
89,11088,San Diego,California,"Davis, Hunter",Bachelors,Management,3
90,11089,Long Beach,California,"Price, Abigail",Bachelors,Management,3
91,11090,Los Angeles,California,"Bryant, Trevor",Partial College,Professional,3
128,11127,San Gabriel,California,"Edwards, Jan",High School,Skilled Manual,3
129,11128,Renton,Washington,"Long, Samantha",High School,Skilled Manual,3
130,11129,Sedro Woolley,Washington,"Wright, Julia",High School,Skilled Manual,3
131,11130,Lebanon,Oregon,"Russell, Caroline",High School,Skilled Manual,3
134,11133,Lake Oswego,Oregon,"Griffin, Angela",Partial High School,Clerical,3
136,11135,Burlingame,California,"Harris, Marcus",Partial High School,Clerical,3
138,11137,Spokane,Washington,"Taylor, Jasmine",High School,Skilled Manual,3
139,11138,Glendale,California,"Davis, Lauren",High School,Skilled Manual,3
141,11140,Burbank,California,"Alvarez, Javier",Partial High School,Clerical,3
142,11141,Daly City,California,"Ramirez, Nicole",High School,Skilled Manual,3
144,11143,Lakewood,California,"Henderson, Jonathan",High School,Skilled Manual,3
145,11144,Ballard,Washington,"Hernandez, Edward",High School,Skilled Manual,3
146,11145,Beaverton,Oregon,"Coleman, Jasmine",High School,Skilled Manual,3
153,11152,Puyallup,Washington,"Williams, James",High School,Skilled Manual,3
154,11153,Renton,Washington,"James, Angela",High School,Skilled Manual,3
155,11154,Woodburn,Oregon,"Walker, Megan",Partial College,Skilled Manual,3
156,11155,Burbank,California,"Robinson, Hunter",Partial College,Skilled Manual,3
157,11156,Lakewood,California,"Roberts, Maria",Partial College,Skilled Manual,3
158,11157,Tacoma,Washington,"Long, Hannah",High School,Skilled Manual,3
159,11158,San Gabriel,California,"Wright, Jason",High School,Skilled Manual,3
160,11159,Woodland Hills,California,"Hughes, Brianna",High School,Skilled Manual,3
161,11160,Concord,California,"Tang, Maurice",Partial College,Skilled Manual,3
162,11161,Concord,California,"Wood, Emily",Partial College,Skilled Manual,3
163,11162,La Jolla,California,"Cox, Chase",Partial College,Skilled Manual,3
164,11163,Spring Valley,California,"Wang, Gabriel",Partial College,Skilled Manual,3
165,11164,Torrance,California,"Brooks, Devin",Partial College,Skilled Manual,3
166,11165,Oakland,California,"Alexander, Jocelyn",Partial College,Skilled Manual,3
167,11166,Olympia,Washington,"Martinez, Ashley",Partial College,Skilled Manual,3
168,11167,Issaquah,Washington,"Barnes, Jasmine",Bachelors,Management,3
169,11168,Oakland,California,"Rodriguez, David",Bachelors,Management,3
170,11169,Coronado,California,"Richardson, Bryce",Bachelors,Management,3
171,11170,Burien,Washington,"Howard, Carol",Bachelors,Management,3
172,11171,Woodland Hills,California,"Hill, Jonathan",Bachelors,Management,3
173,11172,Lynnwood,Washington,"Adams, Gabrielle",Bachelors,Management,3
174,11173,W. Linn,Oregon,"Thomas, Sarah",Graduate Degree,Management,3
175,11174,Los Angeles,California,"Robinson, Nicholas",Graduate Degree,Management,3
176,11175,Beverly Hills,California,"Wang, Luis",Partial College,Skilled Manual,3
178,11177,San Diego,California,"Flores, Jose",Graduate Degree,Management,3
179,11178,Lakewood,California,"Johnson, Nathan",Graduate Degree,Management,3
180,11179,Beverly Hills,California,"Rodriguez, Molly",Graduate Degree,Management,3
181,11180,Chula Vista,California,"Anand, April",Bachelors,Management,3
182,11181,Los Angeles,California,"Martin, Devin",Graduate Degree,Management,3
183,11182,Sedro Woolley,Washington,"Torres, Stephanie",Bachelors,Management,3
184,11183,Santa Cruz,California,"Lee, Jasmine",Bachelors,Management,3
185,11184,Concord,California,"Hernandez, Meghan",Bachelors,Management,3
187,11186,Palo Alto,California,"Price, Sarah",Bachelors,Management,3
